city,month,n_bathrooms,n_bedrooms,price,total_area,url,year,floor_number,living_area,monthly_syndicate_price,neighborhood,type,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equipped_kitchen,bool_furniture,bool_parking,bool_security,bool_terrace
Marrakech,11,2,2,2200000,77,https://www.avito.ma/fr/route_d'ourika/appartements/Rez_de_Jardin_2_chambres_sur_Prestigia__55740893.htm,2024,0,77,,Route d'Ourika,apartment,0,0,0,1,1,1,1,1,1,1
Casablanca,11,2,1,1900000,,https://www.avito.ma/fr/oasis/appartements/a_vendre_tres_joli_appart_à_oasis__55750506.htm,2024,3,93,,Oasis,apartment,0,1,1,1,1,0,0,1,1,0
Salé,11,1,2,550000,78,https://www.avito.ma/fr/hay_chmaou/appartements/Appartement_à_vendre_72_m²_à_Salé_55758988.htm,2024,1,72,,Hay Chmaou,apartment,0,0,0,0,0,0,0,0,0,0
Marrakech,11,2,3,980000,115,https://www.avito.ma/fr/issil/appartements/RAK_GU_1118___Appartement_à_vendre_à_Issil_55486494.htm,2024,1,115,,Issil,apartment,1,0,0,0,0,0,0,0,0,0
Temara,11,1,2,940000,132,https://www.avito.ma/fr/ittihad_arabi/appartements/Appartement_Bonne_affaire_à_vendre_132_m²__55519671.htm,2024,3,132,100,Ittihad Arabi,apartment,0,1,0,0,0,1,0,1,1,1
Rabat,11,0,3,650000,,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_à_Vendre_Tamesna__53715084.htm,2024,2,101,,Autre secteur,apartment,1,0,0,0,0,1,0,0,0,0
Casablanca,11,2,2,937000,,https://www.avito.ma/fr/ain_sebaa/appartements/Bel_Appartement_à_vendre_85_m²_à_Aïn_Sebaa_54707603.htm,2024,1,85,,Ain Sebaa,duplex/triplex,1,1,0,1,1,1,0,1,1,1
Casablanca,11,2,2,1478000,80,https://www.avito.ma/fr/franceville/appartements/Appartement_à_vendre_80_m²_à_Casablanca_55144722.htm,2024,2,80,,Franceville,apartment,0,0,0,0,0,0,0,0,0,0
Marrakech,11,2,2,850000,72,https://www.avito.ma/fr/mabrouka/appartements/BEL_APPARTEMENT_MEUBLÉ_A_VENDRE_A_MARRAKECH__55767029.htm,2024,2,72,,Mabrouka,apartment,0,0,1,1,0,1,1,0,1,0
Marrakech,11,1,2,400000,64,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_à_vendre_dans_un_excellent_emplacement_55536048.htm,2024,0,64,100,Route de Casablanca,apartment,0,1,1,1,1,1,0,0,1,0
Tétouan,11,2,3,,140,https://www.avito.ma/fr/route_de_ceuta/appartements/Appartement_à_vendre_140_m²_à__Marina_Beach_49723350.htm,2024,1,140,,Route de Ceuta,apartment,0,0,0,0,0,1,1,1,1,1
Kénitra,11,1,2,570000,75,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_à_vendre_75_m²_à_Kénitra_55617285.htm,2024,3,75,,Autre secteur,apartment,1,1,0,0,1,1,0,0,1,0
Martil,11,2,3,600000,75,https://www.avito.ma/fr/martil/appartements/appartement_en_vente__55543434.htm,2024,2,75,,Toute la ville,apartment,0,0,0,0,0,0,0,0,0,0
Martil,11,1,3,590000,95,https://www.avito.ma/fr/martil/appartements/Appartement_à_vendre_89_m²_à_Martil_55735757.htm,2024,5,89,,Toute la ville,apartment,0,0,0,0,0,1,0,0,0,1
Casablanca,11,2,2,1162500,,https://www.avito.ma/fr/oulfa/appartements/Laymoune_Piscines___Résidence_fermée_75_130_m2_55185423.htm,2024,3,75,,Oulfa,apartment,1,1,1,1,1,1,0,1,1,1
