url,n_bedrooms,n_bathrooms,total_area,living_area,floor,price,monthly_syndicate_price,city,neighborhood,type,year,month,source,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equipped_kitchen,bool_furniture,bool_parking,bool_security,bool_terrace
https://www.avito.ma/fr/route_d'ourika/appartements/Rez_de_Jardin_2_chambres_sur_Prestigia__55740893.htm,2,2,77,77,0,2200000,,Marrakech,Route d'Ourika,apartment,2024,11,avito,0,0,0,1,1,1,1,1,1,1
https://www.avito.ma/fr/oasis/appartements/a_vendre_tres_joli_appart_à_oasis__55750506.htm,1,2,,93,3,1900000,,Casablanca,Oasis,apartment,2024,11,avito,0,1,1,1,1,0,0,1,1,0
https://www.avito.ma/fr/hay_chmaou/appartements/Appartement_à_vendre_72_m²_à_Salé_55758988.htm,2,1,78,72,1,550000,,Salé,Hay Chmaou,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/issil/appartements/RAK_GU_1118___Appartement_à_vendre_à_Issil_55486494.htm,3,2,115,115,1,980000,,Marrakech,Issil,apartment,2024,11,avito,1,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/ittihad_arabi/appartements/Appartement_Bonne_affaire_à_vendre_132_m²__55519671.htm,2,1,132,132,3,940000,100,Temara,Ittihad Arabi,apartment,2024,11,avito,0,1,0,0,0,1,0,1,1,1
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_à_Vendre_Tamesna__53715084.htm,3,0,,101,2,650000,,Rabat,Autre secteur,apartment,2024,11,avito,1,0,0,0,0,1,0,0,0,0
https://www.avito.ma/fr/ain_sebaa/appartements/Bel_Appartement_à_vendre_85_m²_à_Aïn_Sebaa_54707603.htm,2,2,,85,1,937000,,Casablanca,Ain Sebaa,duplex/triplex,2024,11,avito,1,1,0,1,1,1,0,1,1,1
https://www.avito.ma/fr/franceville/appartements/Appartement_à_vendre_80_m²_à_Casablanca_55144722.htm,2,2,80,80,2,1478000,,Casablanca,Franceville,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/mabrouka/appartements/BEL_APPARTEMENT_MEUBLÉ_A_VENDRE_A_MARRAKECH__55767029.htm,2,2,72,72,2,850000,,Marrakech,Mabrouka,apartment,2024,11,avito,0,0,1,1,0,1,1,0,1,0
https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_à_vendre_dans_un_excellent_emplacement_55536048.htm,2,1,64,64,0,400000,100,Marrakech,Route de Casablanca,apartment,2024,11,avito,0,1,1,1,1,1,0,0,1,0
https://www.avito.ma/fr/route_de_ceuta/appartements/Appartement_à_vendre_140_m²_à__Marina_Beach_49723350.htm,3,2,140,140,1,,,Tétouan,Route de Ceuta,apartment,2024,11,avito,0,0,0,0,0,1,1,1,1,1
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_à_vendre_75_m²_à_Kénitra_55617285.htm,2,1,75,75,3,570000,,Kénitra,Autre secteur,apartment,2024,11,avito,1,1,0,0,1,1,0,0,1,0
https://www.avito.ma/fr/martil/appartements/appartement_en_vente__55543434.htm,3,2,75,75,2,600000,,Martil,Toute la ville,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/martil/appartements/Appartement_à_vendre_89_m²_à_Martil_55735757.htm,3,1,95,89,5,590000,,Martil,Toute la ville,apartment,2024,11,avito,0,0,0,0,0,1,0,0,0,1
https://www.avito.ma/fr/oulfa/appartements/Laymoune_Piscines___Résidence_fermée_75_130_m2_55185423.htm,2,2,,75,3,1162500,,Casablanca,Oulfa,apartment,2024,11,avito,1,1,1,1,1,1,0,1,1,1
https://www.avito.ma/fr/ville_verte/appartements/_Appartement_Bouskoura_Ville_Verte_La_Palmeraie_55573254.htm,4,3,166,441,1,4750000,,Bouskoura,Ville verte,apartment,2024,11,avito,1,1,1,1,0,1,0,1,1,0
https://www.avito.ma/fr/martil/appartements/شقق_عصرية_فاخرة_للبيع__55553772.htm,2,1,65,65,1,550000,,Martil,Toute la ville,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/bourgogne/appartements/CMN_AN_1682___Appartement_à_vendre_à_Bourgogne_55775214.htm,3,2,154,154,1,1850000,,Casablanca,Bourgogne,apartment,2024,11,avito,1,1,0,0,0,0,0,0,0,1
https://www.avito.ma/fr/bourgogne/appartements/Appartement_à_vendre_40_m²_à_Casablanca_54767502.htm,1,1,,40,1,780000,,Casablanca,Bourgogne,apartment,2024,11,avito,1,0,0,1,0,1,1,0,1,0
https://www.avito.ma/fr/sidi_belyout/appartements/Superbe_Appartement_2Chs_73m2_Bd_Moulay_Youssef_54938457.htm,2,1,73,73,1,1320000,300,Casablanca,Sidi Belyout,apartment,2024,11,avito,1,1,1,1,1,1,0,1,1,0
https://www.avito.ma/fr/secteur_touristique/appartements/Appartement_à_vendre_98_m²_à_Agadir_53870526.htm,3,1,,98,3,2400000,,Agadir,Secteur Touristique,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/agdal/appartements/Bel_Apparemment_Haut_Agdal__55743684.htm,3,2,90,90,3,1650000,50,Rabat,Agdal,apartment,2024,11,avito,0,1,1,1,0,1,1,1,1,0
https://www.avito.ma/fr/autre_secteur/appartements/CMN_SI_1643___Appartement_à_vendre_à_Moulay_Youssef_55592156.htm,2,1,73,73,1,1320000,,Casablanca,Autre secteur,apartment,2024,11,avito,1,1,0,0,0,0,0,0,0,1
https://www.avito.ma/fr/centre_ville/appartements/Appartement_à_vendre_85_m²_à_Tétouan_53687854.htm,3,1,85,85,2,520000,150,Urgent,Centre ville,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/aïn_chock/appartements/شقة_شوكة_طابق_الاول_55775116.htm,2,1,58,58,1,600000,50,Casablanca,Aïn Chock,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/autre_secteur/appartements/RAK_GU_1085___Appartement_à_vendre_à_Mabrouka_55109105.htm,2,1,68,68,3,650000,,Marrakech,Autre secteur,apartment,2024,11,avito,1,1,0,0,0,0,0,0,0,1
https://www.avito.ma/fr/aïn_borja/appartements/Magnifique_bureau_à_vendre_à_Ibnou_tachfine_55433802.htm,1,1,,43,3,595000,,Casablanca,Aïn Borja,apartment,2024,11,avito,1,1,1,1,1,0,0,1,1,0
https://www.avito.ma/fr/autre_secteur/appartements/Bel_Appartement_Spacieux_à_Bouznika_55435258.htm,3,1,,90,2,650000,,Bouznika,Autre secteur,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/martil/appartements/Appartement_à_vendre_à_Costa_mar_55735561.htm,2,2,,85,3,1800000,,Martil,Toute la ville,apartment,2024,11,avito,1,1,1,1,1,1,1,1,1,1
https://www.avito.ma/fr/oasis/appartements/Studio_neuf_à_vendre_à_Oasis_55232268.htm,1,1,,39,1,900000,,Casablanca,Oasis,studio,2024,11,avito,1,1,1,1,1,1,0,1,1,1
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_économique_a_Ben_Allah_55689473.htm,2,1,,52,0,225000,100,El Jadida,Autre secteur,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/sidi_rahal/appartements/Appartement_à_vendre_81_m²_à_Sidi_Rahal_55775138.htm,2,2,81,81,1,900000,400,Sidi Rahal,Toute la ville,apartment,2024,11,avito,0,1,0,1,0,1,1,1,1,1
https://www.avito.ma/fr/palmeraie/appartements/Appartement_rez_de_jardin_à_la_palmeraie_43307871.htm,2,1,104,107,0,1750000,,Marrakech,Palmeraie,apartment,2024,11,avito,0,0,0,1,0,1,0,0,1,1
https://www.avito.ma/fr/asilah/appartements/Appartement_à_vendre_74_m²_à_Asilah_54451286.htm,2,1,74,74,1,1050000,250,Urgent,Toute la ville,apartment,2024,11,avito,1,0,1,1,1,1,0,1,1,1
https://www.avito.ma/fr/béni_mellal/appartements/Appartement_à_vendre_55583799.htm,3,2,126,106,3,,,Béni Mellal,Toute la ville,apartment,2024,11,avito,0,1,0,0,0,1,0,1,1,0
https://www.avito.ma/fr/centre_ville/appartements/شقة_سكنية_للبيع_ساروت_قرب_حي_الإداري_وسط_المدينة_55753160.htm,1,1,,50,4,170000,,Tanger,Centre ville,apartment,2024,11,avito,0,1,1,0,1,1,1,0,1,0
https://www.avito.ma/fr/skikina/appartements/Des_Appartement_neuf_à_vendre_partir_71_m²_skikina_55705964.htm,1,1,71,71,1,690000,100,Temara,Skikina,apartment,2024,11,avito,1,1,0,0,1,0,0,1,0,1
https://www.avito.ma/fr/quartier_de_l'océan/appartements/Appartement_à_vendre_104_m²_à_Rabat_55225026.htm,3,1,,104,1,1500000,,Rabat,Quartier de l'Océan,apartment,2024,11,avito,0,0,0,0,1,0,0,1,1,0
https://www.avito.ma/fr/m'hamid/appartements/شقة___فاخرة_للبيع_بمساحة_130_متر_مربع__55658297.htm,3,3,130,130,2,740000,,Marrakech,M'Hamid,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_à_vendre_50_m²_à_Casa_Sidi_Maarouf_55529426.htm,2,1,50,50,3,510000,50,Casablanca,Sidi Maarouf,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,1
https://www.avito.ma/fr/bourgogne/appartements/Apt_132M²_très_Propre_avec_Terrasse_Mosquée_Badr_55194738.htm,2,2,132,132,1,1400000,,Casablanca,Bourgogne,apartment,2024,11,avito,1,1,0,0,1,0,0,1,1,1
https://www.avito.ma/fr/2_mars/appartements/Appartement_à_vendre_2_Mars_55677264.htm,3,2,139,115,3,1920000,300,Casablanca,2 Mars,apartment,2024,11,avito,1,1,1,1,1,0,0,1,1,1
https://www.avito.ma/fr/bir_rami_ouest/appartements/offres_limitée_7000_M2_55643432.htm,2,2,85,78,2,540000,,Kénitra,Bir Rami Ouest,apartment,2024,11,avito,1,1,0,1,1,1,0,1,1,0
