city,month,n_bathrooms,n_bedrooms,price,total_area,url,year,floor_number,living_area,monthly_syndicate_price,neighborhood,type,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equipped_kitchen,bool_furniture,bool_parking,bool_security,bool_terrace
Rabat,10,2,3,1500000,140,https://www.avito.ma/fr/guich_oudaya/appartements/Appartement_a_Vendre_à_Temara__55593870.htm,2024,1,144,200,Guich Oudaya,apartment,0,1,0,0,1,0,0,1,1,1
Temara,10,2,2,690000,,https://www.avito.ma/fr/skikina/appartements/Appartement_à_vendre_70_m²_à_Temara_51977528.htm,2024,1,70,,Skikina,apartment,1,0,0,0,0,0,0,0,0,0
Marrakech,10,2,2,779000,82,https://www.avito.ma/fr/guéliz/appartements/Appartement_82_m²_avec_piscine_à_gueliz_50172588.htm,2024,1,82,300,Guéliz,apartment,1,0,0,0,0,0,0,1,1,0
Casablanca,10,2,2,2200000,148,https://www.avito.ma/fr/bourgogne/appartements/60564_Vente_Appt_à_Casablanca_Bourgogne__Anfa__de__55539456.htm,2024,,94,5500,Bourgogne,apartment,1,1,1,1,0,1,0,1,1,1
Marrakech,10,2,1,693000,77,https://www.avito.ma/fr/guéliz/appartements/Appartement_à_77_m²_avec_piscine_a_gueliz__32857876.htm,2024,3,77,300,Guéliz,apartment,1,0,0,0,0,0,0,1,1,0
Tanger,10,2,3,1100000,120,https://www.avito.ma/fr/tanger_city_center/appartements/APPARTEMENT_A_VENDRE__55557238.htm,2024,3,110,200,Tanger City Center,apartment,1,1,1,1,0,1,1,1,1,0
Casablanca,10,1,2,1800000,105,https://www.avito.ma/fr/triangle_d'or/appartements/55697_Vente_Appt_à_Casablanca_Triangle_D_Or_de_105_55420220.htm,2024,4,90,7600,Triangle d'Or,apartment,1,1,1,0,0,1,0,1,0,0
Casablanca,10,3,3,3500000,222,https://www.avito.ma/fr/gauthier/appartements/8888_Vente_Appt_à_Casablanca_Gauthier_de_222_m²_54687711.htm,2024,2,210,,Gauthier,apartment,1,1,1,0,0,1,0,1,1,0
El Jadida,10,1,2,600000,82,https://www.avito.ma/fr/centre/appartements/Appartement_à_vendre_78_m²_à_El_Jadida_55270509.htm,2024,4,82,100,Centre,apartment,1,1,0,0,1,0,0,1,0,0
Marrakech,10,1,2,19000,51,https://www.avito.ma/fr/guéliz/appartements/Studio_Appartement_Haut_Standing_Gueliz_55203172.htm,2024,1,51,,Guéliz,duplex/triplex,1,1,1,1,1,1,1,1,1,1
Agadir,10,2,2,650000,,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_à_vendre_63_m²_à_Agadir_55349077.htm,2024,2,63,,Hay Mohammadi,apartment,1,1,0,1,0,1,0,0,0,0
Casablanca,10,2,2,890000,106,https://www.avito.ma/fr/la_gironde/appartements/apt_chouka_lagironde__55623969.htm,2024,2,94,200,La Gironde,apartment,1,1,0,0,0,1,0,1,1,0
Tanger,10,2,1,,,https://www.avito.ma/fr/manar/appartements/Appartement_67_m²_à_Tanger_53961997.htm,2024,2,67,,manar,apartment,1,1,1,1,1,1,0,1,1,1
Casablanca,10,2,2,1110000,46,https://www.avito.ma/fr/quartier_des_hôpitaux/appartements/Studio_neuf_60m²_au_Boulevard_Anoual__54987776.htm,2024,1,46,,Quartier des Hôpitaux,studio,1,0,0,1,1,1,0,1,1,0
Marrakech,10,1,1,590000,59,https://www.avito.ma/fr/guéliz/appartements/Appartement_59_m²_avec_piscine_à_gueliz_33163327.htm,2024,1,59,300,Guéliz,apartment,0,0,0,0,0,0,0,0,0,0
