city,neighborhood,price,type,url,year,month,n_bedrooms,n_bathrooms,living_area,total_area,floor,syndicate_price_per_month,bool_security,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equiped_kitchen,bool_furniture,bool_parking,bool_terrace
Casablanca,Bourgogne (anfa),1400000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-bourgogne-(anfa)-CA002607,2024,11,2,1,95,100,4,150.0,0,1,1,0,0,1,0,0,1,0
Casablanca,Gauthier,4800000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-gauthier-CA003124,2024,11,3,3,220,249,5,,1,1,1,0,1,0,1,1,1,0
Casablanca,La gironde,1580000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-la-gironde-CA004031,2024,11,3,2,113,129,1,,1,1,0,0,0,0,1,1,1,1
Casablanca,Derb omar,1400000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-derb-omar-CA004198,2024,11,2,2,134,142,5,,1,1,1,0,0,0,0,0,1,1
Casablanca,Nassim,1200000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-nassim-CA004319,2024,11,2,2,83,88,4,250.0,1,1,1,0,0,1,0,0,1,0
Casablanca,Les princesses,1150000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-les-princesses-CA003628,2024,11,4,1,92,92,3,,1,1,1,0,0,1,0,0,0,0
Casablanca,Maarif,3700000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-maarif-CA002956,2024,11,3,2,142,148,5,,1,1,1,0,1,1,0,0,1,1
Casablanca,Val fleury,980000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-val-fleury-CA004614,2024,11,2,1,77,77,2,200.0,0,1,0,0,0,0,1,0,1,0
Casablanca,Sidi bernoussi,1160000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-sidi-bernoussi-CA003696,2024,11,4,2,98,104,2,,1,0,0,0,0,0,1,0,0,1
Casablanca,Hopitaux,1900000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-hopitaux-CA004842,2024,11,2,2,155,208,0,,0,1,0,0,0,0,1,0,1,1
Casablanca,Lekrimat,1710000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-lekrimat-CA003904,2024,11,2,1,114,114,0,,1,1,0,0,0,0,1,0,0,0
Casablanca,Benmsick,700000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-benmsick-CA004818,2024,11,2,1,63,63,1,,0,0,0,0,0,0,0,0,0,0
Casablanca,Val fleury,1990000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-val-fleury-CA004399,2024,11,2,2,132,153,3,,1,1,1,0,0,0,1,0,1,0
Casablanca,Maarif,7200000,duplex/triplex,https://yakeey.com/fr-ma/acheter-triplex-casablanca-maarif-CT002721,2024,11,3,4,705,150,5,,0,0,1,0,0,0,0,0,0,1
Marrakech,Douar touggana,1300000,apartment,https://yakeey.com/fr-ma/acheter-appartement-marrakech-douar-touggana-MI067829,2024,11,2,1,100,100,1,,1,0,0,0,0,0,1,0,1,1
Casablanca,Californie,2200000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-californie-CI067712,2024,11,3,3,126,126,4,,1,1,0,0,0,0,1,0,1,0
Casablanca,Mandarouna,2650000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-mandarouna-CA006349,2024,11,3,3,182,201,1,,1,1,0,0,0,0,1,0,1,1
Témara,Hay al wifaq,1530000,apartment,https://yakeey.com/fr-ma/acheter-appartement-temara-hay-al-wifaq-TA005151,2024,11,3,2,116,116,3,,0,1,1,0,1,1,1,0,1,0
Casablanca,Derb omar,940000,studio,https://yakeey.com/fr-ma/acheter-studio-casablanca-derb-omar-CS006072,2024,11,1,1,77,89,5,,0,1,1,0,0,1,1,0,1,0
