url,n_bedrooms,n_bathrooms,total_area,living_area,floor,price,monthly_syndicate_price,city,neighborhood,type,year,month,source,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equipped_kitchen,bool_furniture,bool_parking,bool_security,bool_terrace
https://www.avito.ma/fr/belvédère/appartements/61538_Vente_Appt_à_Casablanca_Belvedere__Roches_No_55737094.htm,3,2,108,,3,1500000,1800,Casablanca,Belvédère,apartment,2024,11,avito,1,1,0,0,0,0,0,1,1,0
https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_de_99m²_à_vendre_Casablanca__55793468.htm,2,2,99,66,1,850000,,Casablanca,Sidi Maarouf,apartment,2024,11,avito,1,0,0,0,0,1,0,1,1,1
https://www.avito.ma/fr/had_soualem/appartements/appartement__49938504.htm,3,2,143,120,3,620000,,Had Soualem,Toute la ville,apartment,2024,11,avito,0,1,0,0,0,1,0,0,1,1
https://www.avito.ma/fr/maarif/appartements/Appartement_80m²_Maarif_Ext_54055210.htm,2,1,80,80,1,1150000,,Casablanca,Maarif,apartment,2024,11,avito,1,0,0,0,1,0,0,0,1,1
https://www.avito.ma/fr/maarif/appartements/Studio_37m_Neuf_haut_standing_Maarif_Ex_54506742.htm,1,1,37,37,1,,,Casablanca,Maarif,studio,2024,11,avito,1,1,0,1,0,0,0,0,0,0
https://www.avito.ma/fr/ferme_bretone/appartements/65019_Vente_Appt_à_Casablanca_Ferme_Bretonne_de_15_55825049.htm,3,3,152,152,2,3200000,,Casablanca,Ferme Bretone,apartment,2024,11,avito,1,1,1,0,0,1,0,1,1,0
https://www.avito.ma/fr/bourgogne/appartements/CMN_AN_1676___Appartement_à_vendre_à_Bourgogne_55741028.htm,2,1,75,75,0,950000,,Casablanca,Bourgogne,apartment,2024,11,avito,0,1,0,0,0,0,0,0,0,1
https://www.avito.ma/fr/les_princesses/appartements/LES_PRINCESSES_JOLI_STUDIO_A_VENDRE_AVEC_TERRASSE_55414854.htm,1,1,57,51,5,1280000,,Casablanca,Les Princesses,studio,2024,11,avito,1,0,0,1,1,0,0,0,1,1
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_à_vendre_75_m²_à_Mohammedia_55835292.htm,2,1,75,75,4,1050000,,Mohammedia,Autre secteur,apartment,2024,11,avito,1,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/akioud/appartements/Appartement_à_vendre_98_m²_à_Marrakech_55686721.htm,3,3,,98,3,760000,,Marrakech,Akioud,apartment,2024,11,avito,1,1,0,0,1,1,0,1,1,0
